epoch,train_error,train_accuracy,average_weight_update,valid_error,valid_accuracy,test_accuracy
1,7.338589244411872,0.11282051282051282,-23.16103177049263,0.43817170260517974,30.49230769230769,
2,7.257453706760769,0.12307692307692308,-15.674125380747267,0.39811733042959424,40.2,
3,7.208687286728256,0.14871794871794872,-10.609690537012536,0.3715244917133721,45.76923076923077,
4,7.174998778718306,0.12307692307692308,-7.181687534219732,0.35551722968109495,48.49230769230769,
5,7.150139537408412,0.11794871794871795,-4.861691010393971,0.34027440523503,52.04615384615385,
6,7.125385713883813,0.13846153846153847,-3.2893025019014157,0.326996099429082,55.03076923076923,
7,7.103593149985118,0.15384615384615385,-2.227425898021714,0.31757477861344624,56.43076923076923,
8,7.088286921383747,0.14871794871794872,-1.5065169644185916,0.3136347387609296,57.33846153846154,
9,7.076250022081196,0.15384615384615385,-1.021347680485867,0.30639701803838276,57.784615384615385,
10,7.063805898704793,0.17435897435897435,-0.690768393056447,0.30299194091668624,58.784615384615385,
11,7.049422476166015,0.1794871794871795,-0.4689624891856632,0.28508408462505175,63.676923076923075,
12,7.024947925582028,0.15384615384615385,-0.31844965381883844,0.2697483823240648,65.78461538461538,
13,7.008898815119112,0.2,-0.21638372974172637,0.2658164773651621,66.93846153846154,
14,6.9970768611407514,0.18974358974358974,-0.14559154808098126,0.25988742031989637,67.12307692307692,
15,6.987809180068141,0.15897435897435896,-0.09958852632817271,0.2578177288626412,67.27692307692308,
16,6.979200408570827,0.2,-0.06932772277159283,0.25271944325136775,68.4,
17,6.971589058252436,0.17435897435897435,-0.04602677889510899,0.25121592253472547,69.06153846153846,
18,6.964179154522921,0.19487179487179487,-0.0329647115013741,0.24867343403270561,69.56923076923077,
19,6.9554934962485495,0.21025641025641026,-0.024832858960656255,0.24120720836023682,71.9076923076923,
20,6.944176616951093,0.2205128205128205,-0.015473481415502626,0.23571040833738038,73.15384615384616,
21,6.928718954161799,0.20512820512820512,-0.010748329446681176,0.22610547724552624,74.98461538461538,
22,6.920927392203775,0.22564102564102564,-0.005906728981239234,0.22298998881000076,74.8,
23,6.914548257609128,0.18461538461538463,-0.00595793361598157,0.22043647784692835,75.86153846153846,
24,6.908177259879631,0.1794871794871795,-0.005727261704434544,0.21942788014281306,75.83076923076923,
25,6.90206948866518,0.16923076923076924,-0.003755590188058703,0.21777533015335737,75.8,
26,6.89749700780991,0.2,-0.0018844005193762435,0.21606681539228065,75.95384615384616,
27,6.892322922378609,0.19487179487179487,-0.002264747400869566,0.21455850210553962,76.1076923076923,
28,6.887298792192698,0.22564102564102564,-0.002136646580126216,0.21470835261188465,76.33846153846154,
29,6.882636408305871,0.21025641025641026,-0.0032077768632608485,0.21137232351965224,76.75384615384615,
30,6.87671321457313,0.21025641025641026,-0.0028882113260317336,0.21087747173392885,76.73846153846154,
31,6.872236447149776,0.2,-0.002891043769333925,0.20886844134533114,77.43076923076923,
32,6.867573160697831,0.18974358974358974,-0.004358830483353369,0.2107443570962703,76.56923076923077,
33,6.862978354503584,0.2205128205128205,-0.0026854935177649795,0.2098622744603417,77.1076923076923,
34,6.858280942222385,0.2,-0.001368544692521601,0.20920475286234988,77.2,
35,6.8536026846359475,0.19487179487179487,-0.0014562492659714575,0.20706947296259778,77.36923076923077,
36,6.84767535838984,0.22564102564102564,-0.0036469326711392374,0.20552105346722616,77.53846153846153,
37,6.844854078937296,0.19487179487179487,-0.0026229099080545956,0.20454160597888932,77.53846153846153,
38,6.839383284971541,0.2358974358974359,-0.0010652637210787695,0.2054286192488747,77.76923076923077,
39,6.834164558674775,0.2153846153846154,-0.0034710777944516992,0.20555770893165504,77.73846153846154,
40,6.829667282080325,0.21025641025641026,-0.004184313839893963,0.20625891253281428,77.38461538461539,
41,6.825733247442635,0.2153846153846154,-0.0021450612390412774,0.20392165151649871,77.73846153846154,
42,6.820214494384386,0.2153846153846154,-0.002741429700875549,0.2033906538303229,77.83076923076923,
43,6.815177489113866,0.2153846153846154,-0.001617548688489872,0.20116231862500858,78.12307692307692,
44,6.810691921933288,0.2,-0.0013726992222543473,0.20264734677716076,77.86153846153846,
45,6.805090843205261,0.2205128205128205,-0.0019311973728932535,0.20201881524295828,78.0923076923077,
46,6.801238580446717,0.24102564102564103,-0.002394998653352718,0.20289168853119077,78.12307692307692,
47,6.796276633122131,0.21025641025641026,-0.002104219463403327,0.20090742700204356,78.2,
48,6.792253714437919,0.2,-0.0008660519481842582,0.20031916610874875,78.46153846153847,
49,6.7870412246638505,0.2153846153846154,-0.001276422144225724,0.19978843269128396,78.38461538461539,
50,6.782286442014874,0.2153846153846154,-0.0008728757689562968,0.19993044978968988,78.6,
51,6.777743730556071,0.2,-0.0012581014582593814,0.20139776275999624,78.63076923076923,
52,6.772410444321746,0.22564102564102564,-0.000385396547687289,0.1988176045282911,79.0,
53,6.768407094762139,0.22564102564102564,-0.0022972742287645075,0.1992603549277576,78.52307692307693,
