epoch,train_error,train_accuracy,average_weight_update,valid_error,valid_accuracy,test_accuracy
1,0.4526860779066283,-1.0,-34.48800031283691,0.4148309681036972,32.784615384615385,
2,0.3879401530930209,-1.0,-23.340449496389585,0.37794440375352617,40.246153846153845,
3,0.35891143516972307,-1.0,-15.79628910001492,0.3590720106896451,43.815384615384616,
4,0.34321912724015124,-1.0,-10.690054762460804,0.3475647370041479,44.86153846153846,
5,0.33344728638118637,-1.0,-7.236251186519499,0.3432675475596297,45.69230769230769,
6,0.32608113127099975,-1.0,-4.898845317972649,0.33574007971361314,47.13846153846154,
7,0.31879025290068275,-1.0,-3.3168604463438185,0.3284585641716087,48.8,
8,0.3122634222012095,-1.0,-2.245584399869136,0.3244495032504129,49.69230769230769,
9,0.3076220126722238,-1.0,-1.519217111560343,0.3212504023210676,50.07692307692308,
10,0.3026591564710541,-1.0,-1.0285434514019216,0.3170490442068454,50.84615384615385,
11,0.29807639856590695,-1.0,-0.6986539103791386,0.31218958187751594,51.784615384615385,
12,0.2944236709032874,-1.0,-0.4731823935644207,0.31078219561456893,51.93846153846154,
13,0.2908871963941983,-1.0,-0.3228603943473909,0.3087957614614588,52.30769230769231,
14,0.2880240842445093,-1.0,-0.2179535783822486,0.3052710403771171,52.41538461538462,
15,0.28535061296062425,-1.0,-0.1508354767532437,0.30387152476646495,53.12307692307692,
16,0.282891341807002,-1.0,-0.10202962487859814,0.30283356161921093,53.36923076923077,
17,0.280474145879269,-1.0,-0.07070627984031488,0.30324919246396465,53.36923076923077,
18,0.2780183730485109,-1.0,-0.047000588827233014,0.29916631652519365,53.76923076923077,
19,0.27659396681757004,-1.0,-0.034501913861665096,0.29813775299904205,53.83076923076923,
20,0.274567607433449,-1.0,-0.022709211943986597,0.2968395425846319,53.87692307692308,
21,0.2731528016867869,-1.0,-0.015418602933458446,0.2952981696558441,54.03076923076923,
22,0.2715889478630611,-1.0,-0.01171201335159545,0.29524870784817814,54.43076923076923,
23,0.26969655419221805,-1.0,-0.008419435154167541,0.29263869032145556,54.55384615384615,
24,0.268171139573555,-1.0,-0.005952524076170293,0.29323531635866307,54.41538461538462,
25,0.2667661886262315,-1.0,-0.006486468113925337,0.2914911093443169,54.63076923076923,
26,0.26541466587286977,-1.0,-0.005053556316259149,0.2904855456760683,54.66153846153846,
27,0.26417094374520916,-1.0,-0.0031707334346210534,0.28956256839410416,54.95384615384615,
28,0.2627610318406546,-1.0,-0.0041299369492955335,0.2894598967788086,55.23076923076923,
29,0.26163680936456,-1.0,-0.0018758250400776515,0.2900175639860506,55.04615384615385,
30,0.26075116449014835,-1.0,-0.003601635836836016,0.2881075466299934,55.15384615384615,
31,0.2597172637619608,-1.0,-0.0036501025219548102,0.2877397752160844,55.4,
32,0.2587717776774971,-1.0,-0.0024651343086450044,0.28654494183199675,55.52307692307692,
33,0.25777296656834553,-1.0,-0.0019438248162327045,0.2885750160986734,55.12307692307692,
34,0.2568778763131436,-1.0,-0.0044491442472291195,0.2852796447013662,55.6,
35,0.2559359814628803,-1.0,-0.003702793129067454,0.28501437159712306,55.87692307692308,
36,0.25512271882424126,-1.0,-0.0025290944720337974,0.284885834223367,55.753846153846155,
37,0.2543675991458149,-1.0,-0.00220928110571885,0.2835991132095988,55.93846153846154,
38,0.2535137260895818,-1.0,-0.0025422444592858723,0.28479375117026906,56.04615384615385,
39,0.25286606683667706,-1.0,-0.0014632491026582142,0.2844434176531491,55.86153846153846,
40,0.25190937460399787,-1.0,-0.0020746471556893622,0.28438552003025547,55.90769230769231,
41,0.25132410375436054,-1.0,-0.002736908692655101,0.2834346613871756,56.13846153846154,
42,0.25091743375790354,-1.0,-0.002228910156124547,0.28341705180245313,56.215384615384615,
43,0.24996162337928576,-1.0,-0.001584965928021809,0.2849325512473699,55.738461538461536,
44,0.24932888424524863,-1.0,-0.0029212476236359394,0.2817480480941682,56.43076923076923,
45,0.24857150217712112,-1.0,-0.002383990097884528,0.28180323752240266,56.292307692307695,
46,0.2479231608315429,-1.0,-0.0012935081372105707,0.28197915926689576,56.246153846153845,
47,0.24754535194109153,-1.0,-0.0015322220095956946,0.28262700138041763,56.33846153846154,
48,0.24673754615155144,-1.0,-0.003648492661062483,0.2821115363004754,56.246153846153845,
49,0.24628033307916242,-1.0,-0.0024279741343560756,0.2809161001919152,56.353846153846156,
50,0.2454083643641229,-1.0,-0.00265757349047785,0.28108455177711755,56.30769230769231,
51,0.24489733412226966,-1.0,-0.0020698475045742622,0.2799390388643716,56.56923076923077,
52,0.24441516779223618,-1.0,-0.002985642555576303,0.27988396701343987,56.43076923076923,
53,0.24392987901621954,-1.0,-0.003036115124250194,0.2804822123134475,56.53846153846154,
54,0.24345143062794086,-1.0,-0.0021284886989663067,0.2796927922492027,56.44615384615385,
55,0.24262014095849627,-1.0,-0.0021010680936557544,0.27955503263738185,56.30769230769231,
56,0.24243985585421177,-1.0,-0.0030079437410697484,0.27912501537901785,56.52307692307692,
57,0.2420290815066064,-1.0,-0.002761133010378549,0.28033345438360724,56.33846153846154,
58,0.24144653614386793,-1.0,-0.0019793140280116033,0.27918715805938316,56.63076923076923,
59,0.24094407986516272,-1.0,-0.0010743517886453156,0.2811069934843026,56.43076923076923,
60,0.24058106211653557,-1.0,-0.0011547698056692585,0.2809984257313559,56.6,
61,0.24016157914383668,-1.0,-0.001500072082994414,0.2818982529830433,56.61538461538461,
