epoch,train_error,train_accuracy,average_weight_update,valid_error,valid_accuracy,test_accuracy
1,0.4700167164454308,-1.0,-23.875460096070064,0.42998044789910544,28.0,
2,0.4024211364394608,-1.0,-16.15819846291419,0.3833594783332103,39.38461538461539,
3,0.36005771931015024,-1.0,-10.935208509687738,0.35597830722427976,44.276923076923076,
4,0.33718732123354056,-1.0,-7.402101767632596,0.3367571594448482,48.83076923076923,
5,0.3167966589311148,-1.0,-5.009578123337841,0.31625277529968915,53.09230769230769,
6,0.2966232610043887,-1.0,-3.391423129308707,0.30287464186895113,55.56923076923077,
7,0.2857073932755588,-1.0,-2.2959995504025716,0.29398196716465297,56.98461538461538,
8,0.27738739981495353,-1.0,-1.554332474196506,0.28758005477105286,58.215384615384615,
9,0.2699763617005872,-1.0,-1.0515301887732966,0.28294159175883377,58.738461538461536,
10,0.26344960537569545,-1.0,-0.7131218763737017,0.27712130761435255,59.92307692307692,
11,0.2565111888996629,-1.0,-0.4818590711685278,0.27084434677132646,61.06153846153846,
12,0.2478039612097804,-1.0,-0.32728729468291295,0.2643392742569508,62.52307692307692,
13,0.24203695001727432,-1.0,-0.2226770210479253,0.2606120070480251,63.30769230769231,
14,0.23712937577838633,-1.0,-0.15186569744795209,0.25581703717367116,64.43076923076923,
15,0.23228762951880216,-1.0,-0.10280985102101746,0.25276522336731844,64.86153846153846,
16,0.22797076305357497,-1.0,-0.07181377500340676,0.25068506437328064,65.61538461538461,
17,0.22440520075170864,-1.0,-0.05081419292603348,0.24684878945163274,65.81538461538462,
18,0.22131190626798142,-1.0,-0.03558330798338524,0.24349117588075003,66.50769230769231,
19,0.21815155403540631,-1.0,-0.025519627781606845,0.240607431882525,66.95384615384616,
20,0.21406044652956016,-1.0,-0.017666077150688637,0.23331318536173784,69.52307692307693,
21,0.20398658031142408,-1.0,-0.013922533652332073,0.22765442697646268,69.6,
22,0.1997709493686472,-1.0,-0.010409646569822361,0.22510827956306764,70.27692307692308,
23,0.19662012284731198,-1.0,-0.009273493788317924,0.22251235033649425,70.70769230769231,
24,0.19388706294195554,-1.0,-0.005467119414885782,0.21938910783666427,71.76923076923077,
25,0.19060825045016638,-1.0,-0.005104353983801198,0.21593323367005882,72.49230769230769,
26,0.18699778199376185,-1.0,-0.003842373252365692,0.21296634201770331,72.96923076923076,
27,0.1840765738133931,-1.0,-0.003223052537675044,0.21389145116837596,73.03076923076924,
28,0.18134456698668647,-1.0,-0.004564186719215519,0.21026826615175734,73.70769230769231,
29,0.17895275505320674,-1.0,-0.002966153800052826,0.20704053392331564,74.0,
30,0.17659480522111554,-1.0,-0.0034317116151136432,0.20719939130828405,73.96923076923076,
31,0.17371142212517388,-1.0,-0.0020482271703599355,0.2033698840532554,75.3076923076923,
32,0.1675946502505528,-1.0,-0.0022644748868741508,0.20016790712817706,75.96923076923076,
33,0.16423537739484176,-1.0,-0.0029652777702423665,0.19773874376248154,76.49230769230769,
34,0.16171397590708037,-1.0,-0.00250170763777336,0.19467339356378685,76.6,
35,0.15950141872707888,-1.0,-0.0028646824879772427,0.19460959512139736,77.13846153846154,
36,0.1578098755191467,-1.0,-0.0032491964326661522,0.1922116981879982,77.1076923076923,
37,0.15579688270874045,-1.0,-0.0017506997515764407,0.1925765487135974,77.06153846153846,
38,0.15457130037520972,-1.0,-0.003706835196246784,0.18933766696293605,77.58461538461539,
39,0.15294735425355235,-1.0,-0.0021560110085137047,0.18985784860100327,77.38461538461539,
40,0.15149586692175954,-1.0,-0.0016462080263235515,0.18932609795781513,77.73846153846154,
41,0.15042762055814918,-1.0,-0.00259805212827986,0.18794030452152974,77.70769230769231,
42,0.14957575351932859,-1.0,-0.002763955404904501,0.18628259886152349,78.0923076923077,
43,0.1481432652560223,-1.0,-0.002062064107407635,0.18724237130862537,77.83076923076923,
44,0.14706303635375223,-1.0,-0.001827918971960137,0.1885125644524024,77.72307692307692,
45,0.1461851633476171,-1.0,-0.0025920690759723202,0.18683540883653682,78.01538461538462,
46,0.1451945950916703,-1.0,-0.0032323715562251358,0.18519061525494993,78.27692307692308,
47,0.14402060182761423,-1.0,-0.0023665097858731722,0.18744662599341078,77.98461538461538,
48,0.1430611598473235,-1.0,-0.0012748738275299718,0.18642261956055622,78.32307692307693,
49,0.14252056720113565,-1.0,-0.001084908157569637,0.18465612960662167,78.49230769230769,
